,Image,Phone Name,Price,Specification,Rating
927,https://rukminim2.flixcart.com/image/312/312/l0zm64w0/mobile/w/0/i/-original-imagcnn5ahg6pwzd.jpeg?q=70,"OPPO A96 (Starry Black, 128 GB)","₹17,999",8 GB RAM | 128 GB ROM16.74 cm (6.59 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh Lithium Ion BatteryQualcomm Snapdragon 680 Processor1 Year Manufacturer Warranty for Device and 6 months Manufacturer Warranty for In-Box Accessories from Date of Purchase,4.3
928,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/e/8/-original-imagbwx4mqamdbzj.jpeg?q=70,"REDMI Note 11S (Horizon Blue, 128 GB)","₹15,690",6 GB RAM | 128 GB ROM16.33 cm (6.43 inch) Display108MP Rear Camera5000 mAh Battery1 Year Warranty,4.1
929,https://rukminim2.flixcart.com/image/312/312/kfvfwy80/mobile/x/p/b/poco-c3-mzb07rhin-original-imafw8zkfygmfgfr.jpeg?q=70,"POCO C3 (Matte Black, 32 GB)","₹9,999",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB16.59 cm (6.53 inch) HD+ Display13MP + 2MP + 2MP | 5MP Front Camera5000 mAh Li-ion Polymer BatteryMediatek Helio G35 Processor1 Year on Handset and 6 Months on Accessories,4.3
930,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/l/y/-original-imagh2pqyvzjnc5y.jpeg?q=70,"SAMSUNG Galaxy A04 (Green, 128 GB)","₹12,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 5MP Front Camera5000 mAh Lithium Ion BatteryMediatek Helio P35 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,3.9
931,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/s/a/c12-pro-ta-1562-nokia-original-imagzj7wkhbchwsx.jpeg?q=70,"Nokia C12 Pro (Charcoal, 64 GB)","₹6,999",2 GB RAM | 64 GB ROM16.0 cm (6.3 inch) Display8MP Rear Camera4000 mAh Battery1 Year Replacement Warranty for Handset and 6 Months Guarantee for Accessories,4.4
932,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/f/g/i/-original-imagmfhbbex3ubzy.jpeg?q=70,"SAMSUNG Galaxy A23 5G (Silver, 128 GB)","₹23,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 5MP | 8MP Front Camera5000 mAh Lithium Ion BatteryQualcomm Snapdragon 695 (SM6375) Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,3.8
933,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/i/f/z3-z3-i-kall-original-imaggmsn6nsvhehm.jpeg?q=70,"I Kall Z3 (Aquamarine, 64 GB)","₹6,289",4 GB RAM | 64 GB ROM | Expandable Upto 64 GB15.9 cm (6.26 inch) Display16MP Rear Camera | 13MP Front Camera4000 mAh BatteryOcta core Processor1 year manufacturing warranty for mobile and 6 months for box accessories,3.1
934,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/p/m/-original-imagdrgp8pkbzccw.jpeg?q=70,"REDMI 10A (Slate Grey, 32 GB)","₹9,999",3 GB RAM | 32 GB ROM16.59 cm (6.53 inch) Display13MP Rear Camera5000 mAh Battery12 months,4.1
935,https://rukminim2.flixcart.com/image/312/312/ko1smfk0/mobile/0/y/p/v21-5g-pd2083f-ex-vivo-original-imag2kzczrpgc6s3.jpeg?q=70,"vivo V21 5G (Sunset Dazzle, 256 GB)","₹30,990",8 GB RAM | 256 GB ROM16.36 cm (6.44 inch) Full HD+ Display64MP + 8MP + 2MP | 44MP Front Camera4000 mAh Lithium-ion BatteryMediaTek Dimensity 800U ProcessorAMOLED Display1 Year for Handset and 6 Months for In-box Accessories,4.3
936,https://rukminim2.flixcart.com/image/312/312/l27wtjk0/mobile/5/u/h/8t-5gq-kb2007-oneplus-original-imagdm22j9sxytss.jpeg?q=70,"OnePlus 8T 5G (Aquamarine Green, 128 GB)","₹29,990",8 GB RAM | 128 GB ROM16.64 cm (6.55 inch) Display48MP Rear Camera4500 mAh Battery12 months,4.4
937,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/e/y/-original-imagjdmzhyrm7qsa.jpeg?q=70,"vivo Y21G (Diamond Glow, 64 GB)","₹13,990",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.54 cm (6.51 inch) HD+ Display13MP + 2MP | 8MP Front Camera5000 mAh Lithium BatteryMediatek MT6769 Helio G70 Processor1 Year for Device & 6 Months for In-Box Accessories,4.3
938,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/0/v/v/-original-imag9g37hzxggjgg.jpeg?q=70,"REDMI Note 11T 5G (Stardust White, 128 GB)","₹19,990",6 GB RAM | 128 GB ROM16.76 cm (6.6 inch) Display50MP Rear Camera5000 mAh Battery1 Year Warranty,4.2
939,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/c/0/spark-go-2023-bf7-tecno-original-imagzg8f73aycpee.jpeg?q=70,"Tecno Spark Go 2023 (Nebula Purple, 64 GB)","₹8,888",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.66 cm (6.56 inch) HD+ Display13MP Rear Camera | 5MP Front Camera5000 mAh BatteryMediaTek Helio A22 ProcessorDomestic Warranty of 12 Months on Phone & 6 Months on Accessories,4.3
940,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/9/f/p/-original-imaghxenhnpyhn5u.jpeg?q=70,"APPLE iPhone 14 Pro Max (Space Black, 128 GB)","₹1,27,999","128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.7
941,https://rukminim2.flixcart.com/image/312/312/l0sgyvk0/mobile/z/4/7/-original-imagchh89wufbej2.jpeg?q=70,"SAMSUNG Galaxy A03 (Blue, 32 GB)","₹9,990",3 GB RAM | 32 GB ROM16.51 cm (6.5 inch) HD+ Display48MP + 2MP | 5MP Front Camera5000 mAh Lithium Ion BatteryUnisoc UMS9230 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box,4.1
942,https://rukminim2.flixcart.com/image/312/312/ktlu9ow0/mobile/0/3/i/c25y-rmx3265-realme-original-imag6wmjnqmfhcwt.jpeg?q=70,"realme C25Y (Glacier Blue, 128 GB)","₹13,999",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB16.51 cm (6.5 inch) HD+ Display50MP + 2MP + 2MP | 8MP Front Camera5000 mAh BatteryUnisoc T610 Octa Core Processor1 Year Warranty for Mobile and 6 Months for Accessories,4.4
943,https://rukminim2.flixcart.com/image/312/312/jteoosw0/mobile/z/h/x/mi-redmi-go-mzb7184in-original-imaferc8fhhzqwyf.jpeg?q=70,"Redmi Go (Black, 8 GB)","₹5,999",1 GB RAM | 8 GB ROM | Expandable Upto 128 GB12.7 cm (5 inch) HD Display8MP Rear Camera | 5MP Front Camera3000 mAh Li Polymer BatteryQualcomm Snapdragon 425 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.3
944,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/a/i/z7-5g-i2207-iqoo-original-imagz5ysb4wnfehk.jpeg?q=70,"IQOO Z7 5G (Norway Blue, 128 GB)","₹23,990",6 GB RAM | 128 GB ROM16.21 cm (6.38 inch) Display64MP Rear Camera4500 mAh Batterydomestic warranty of 12 months on phone & 6 months on accessories,4.4
945,https://rukminim2.flixcart.com/image/312/312/kmns7m80/mobile/i/6/o/x60-v2045-vivo-original-imagfht4a9bggbxb.jpeg?q=70,"vivo X60 (Shimmer Blue, 128 GB)","₹37,499",8 GB RAM | 128 GB ROM16.66 cm (6.56 inch) Full HD+ Display48MP + 13MP + 13MP | 32MP Front Camera4300 mAh Lithium-ion BatteryQualcomm Snapdragon 870 ProcessorAMOLED Display1 Year for Handset and 6 Months for In-box Accessories,4.4
946,https://rukminim2.flixcart.com/image/312/312/k08gfbk0/mobile/n/b/z/oneplus-7-gm1901-original-imafk2cfgkfzfy4h.jpeg?q=70,"OnePlus 7 (Red, 256 GB)","₹32,990",8 GB RAM | 256 GB ROM16.28 cm (6.41 inch) Display48 MP + 5 MP | 16MP Front Camera3700 mAh Battery1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,4.6
